#id source=all_source.txt	reference=all_reference.txt	test1=MOSES	test2=TECTOMT
no_id	Prague Stock Market falls to minus by the end of the trading day	Pražská burza se ke konci obchodování propadla do minusu	Prague Stock market klesá až na minus na konci obchodního dne	Praha akciový trh klesá na minus konec obchodního dne.
no_id	After a sharp drop in the morning, the Prague Stock Market corrected its losses.	Po ranním prudkém propadu pražská burza korigovala ztráty.	Po prudkém pádu ráno pražského akciového trhu korigovala své ztráty.	Po prudkém poklesu do ráno Praha akciový trh opravil jeho ztráty.
no_id	Transactions with stocks from the Czech Energy Enterprise (ČEZ) reached nearly half of the regular daily trading.	Transakce s akciemi ČEZ dosáhly téměř poloviny běžného denního obchodu.	Transakce s akciemi z české energetické podniky (ČEZ) dosáhl téměř polovinu pravidelného denního obchodování.	Transakce s akciemi z Českého energetického podniku (ČEZ) dosáhly téměř poloviny pravidelného denního obchodování.
no_id	The Prague Stock Market immediately continued its fall from Monday at the beginning of Tuesday's trading, when it dropped by nearly six percent.	Pražská burza navázala hned od počátku úterního obchodování na svůj pondělní propad, když klesala o téměř šest procent.	Pražské akciového trhu ihned pokračoval ve svém pádu z pondělí na začátku úterního obchodování, když klesl o téměř šest procent.	Praha akciový trh okamžitě pokračoval v jeho pádu z pondělí na začátek obchodování úterý, kdy kleslo téměř šest procent.
no_id	This time the fall in stocks on Wall Street is responsible for the drop.	Tentokrát za poklesem stojí propad akcií na Wall Street.	Tentokrát pokles akcií na Wall Street je zodpovědný za pokles.	Tato doba pádu akcií na Wall street je zodpovědná za pokles.
no_id	The reaction of the market to the results of the vote in the American House of Representatives, which refused to support the plan for the stabilization of the financial sector there, has manifested itself here as well.	I u nás se tak projevuje reakce trhu na výsledek hlasování americké Sněmovny reprezentantů, která odmítla podpořit plán stabilizace tamního finančního sektoru.	Reakce trhu na výsledky hlasování v americké sněmovny reprezentantů, která odmítla podpořit plán stabilizace finančního sektoru, byl tam i tady.	Reakce trhu na výsledky hlasování v Americkém domě zástupců, které odmítlo podporovat plán stabilizace finančního sektoru tam, se to projevovala tady také také.
no_id	Stocks fall in Asia	Pád akcií v Asii	Pád akcií v Asii	Akcie spadají do Asie.
no_id	Stocks in the Asian markets experienced a dramatic drop on Tuesday, even though the indexes ultimately erased a part of the losses during the day.	Dramatický pád v úterý zažily akcie na burzách v Asii, i když indexy ale v průběhu dne část ztrát nakonec smazaly.	Akcie na asijských trzích došlo k dramatickému poklesu v úterý, přestože indexy nakonec smazala část ztrát během dne.	Akcie na asijských trzích zažily dramatický pokles v úterý, přestože indexy nakonec vymazaly část ztrát během dne.
no_id	The Hang Seng Index of the Hong Kong Stock Exchange wrote off nearly four percent during the day, but later it erased a part of the losses and reduced the decrease to roughly 2.5 percent.	Index Hang Seng burzy v Hongkongu si v průběhu obchodování odepsal téměř čtyři procenta, později ale část ztrát smazal a pokles zredukoval na zhruba 2,5 procenta.	Index Hang Seng na hongkongské burze odepsaly téměř čtyři procenta, během dne, ale později ji vymazala část ztrát a nižší pokles o zhruba 5 procent.	Po Seng index Hongkongské akciové burzy Konga odepsal téměř čtyřem procentům během dne, ale později to, vymazalo část ztrát a snížily pokles na zhruba 2,5 procenta.
no_id	The Hang Seng China Enterprises Index, which follows the movement of Chinese stocks on the stock market in Hong Kong, dropped by 3.8 percent, in Shanghai the markets were closed.	Index Hang Seng China Enterprises, který sleduje pohyb čínských akcií na burze v Hongkongu, klesl o 3,8 procenta, v Šanghaji byly trhy uzavřeny.	Index Hang Sengu Čína Enterprises index, který sleduje pohyb čínských akcií na burze v Hong kongu, klesl o 8 procent, v Šanghaji trhy byly uzavřeny.	Po Seng Enterprises index Číny, který sleduje pohyb čínských zásob na akciovém trhu v Hongu Kongu, klesl 3,8 procenta, ve Shanghaii trhy byly uzavřeny.
no_id	Stocks on the market in Sydney lost more than five percent, but ultimately lowered their losses to 4.3 percent.	Akcie na burze v Sydney ztrácely více než pět procent, ale nakonec ztráty snížily na 4,3 procenta.	Akcie na trhu v Sydney ztratila více než pět procent, ale v konečném důsledku snížili ztráty na 3 procenta.	Akcie na trhu v Sydney ztratily více než pět procent, ale nakonec je sníženo jejich ztráty na 4,3 procenta.
no_id	The stock exchange in Taiwan dropped by 3.6 percent according to the local index.	Burza na Tchaj-wanu podle tamního indexu klesla o 3,6 procenta.	Burzy v Tchaj - wanu klesl o půl procenta v závislosti na místních index.	Burza akcie v Tchaj-wanu klesla 3,6 procenta podle místního indexu.
no_id	"The timing of the bailout action in the USA is uncertain and it will influence financial markets all over the world," remarked the head of the Hong Kong Currency Board, Joseph Yam.	"Načasování záchranné akce v USA je nejisté a ovlivní to finanční trhy v celém světě," poznamenal šéf hongkongského měnového úřadu Joseph Yam.	"Načasování záchranné akce v USA je nejistá a bude ovlivňovat finanční trhy po celém světě," poznamenal šéf Hongkongu Currency board, Joseph Yam.	"Načasování akce sanace v USA je nejisté a ovlivní finanční trhy na celý svět," poznamenala hlava Měnové rady Konga Hongkongu Josepha Yam.
no_id	Despite the fact that it is a part of China, Hong Kong determines its currency policy separately, that is, without being dependent on the Chinese Central Bank.	Hongkong, přestože je součástí Číny, si měnovou politiku určuje samostatně, tedy bez závislosti na čínské centrální bance.	Navzdory skutečnosti, že je to součástí Číny, Hongkongu, určuje svou měnovou politiku odděleně, to je, aniž bychom byli závislí na čínské centrální banky.	Skutečnost, že to je součást Číny, Hong Kong určuje jeho politiku měny odděleně, je to, aniž je závislá na Čínské centrální bance.
no_id	Hong Kong has interest rates at the same level as the United States.	Úrokové sazby má Hongkong na stejné úrovni jako Spojené státy.	Hongkong se úrokové sazby na stejné úrovni jako ve spojených státech.	Hong Kong má úrokové sazby na stejnou úroveň jako Spojené státy.
no_id	American legislators should quickly return to their negotiations and approve the bill to support the financial system, according to Australian Prime Minister Kevin Rudd.	Američtí zákonodárci by se podle australského premiéra Kevina Rudda měli urychleně vrátit k jednání a návrh podpory finančního systému schválit.	Američtí zákonodárci by měli rychle vrátit do své jednání a schválila návrh zákona na podporu finančního systému, podle australský premiér Kevin Rudd.	Američtí zákonodárci rychle by se měli vrátit do jejich jednání a měli by schválit zákon podporovat finanční systém podle Australana premiéra ministerské Kevina Rudd.
